year,month,full_name,first_name,last_name,gender,birth_date,age,country_citizenship,country_citizenship_iso3,country_residence,country_residence_iso3,city_of_residence,net_worth_usd,wealth_status,self_made,business_category,business_industries,organization_name,position_in_organization,rank
2021,4,August Oetker,August,Oetker,male,1945-03-17,76,Germany,DEU,Germany,DEU,Bielefeld,2800000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1111
2024,4,August Troendle,August,Troendle,male,1956-01-01,68,United States,USA,United States,USA,Cincinnati,3300000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,991
2021,4,August von Finck,August,von Finck,male,1930-03-11,91,Germany,DEU,Switzerland,CHE,Thurgau,8800000000,Increased,FALSE,Finance & Investments,['Finance & Investments'],NA,NA,269
2021,4,Augusto & Giorgio Perfetti,Augusto & Giorgio,Perfetti,male,NA,NA,Italy,ITA,Switzerland,CHE,Lugano,5800000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,476
2024,4,Augusto Perfetti,Augusto,Perfetti,male,1946-08-11,77,Italy,ITA,Switzerland,CHE,Lugano,2900000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1143
2024,4,"Austen Cargill, II.",Austen,Cargill,male,1951-03-09,73,United States,USA,United States,USA,Livingston,4200000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,756
2012,3,Austin Hearst,Austin,Hearst,male,1952-09-01,59,United States,USA,United States,USA,New York,1900000000,Increased,FALSE,Media,['Media'],NA,NA,683
2022,4,Austin Russell,Austin,Russell,male,1995-03-14,27,United States,USA,United States,USA,Orlando,1600000000,Decreased,TRUE,Automotive,['Automotive'],Luminar,Founder,1818
2024,4,Autry Stephens,Autry,Stephens,male,1938-03-08,86,United States,USA,United States,USA,Midland,24300000000,Increased,TRUE,Energy,['Energy'],NA,NA,83
2024,4,Avram Glazer,Avram,Glazer,male,1960-10-15,63,United States,USA,United States,USA,Palm Beach,1700000000,NA,FALSE,Sports,['Sports'],NA,NA,1851
2020,4,Axel Oberwelland,Axel,Oberwelland,male,1967-01-01,53,Germany,DEU,Germany,DEU,Berlin,4099999999.999999,Remained Even,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,437
2024,4,Axel Oberwelland & family,Axel,Oberwelland,male,1967-01-01,57,Germany,DEU,Germany,DEU,Berlin,1200000000,Remained Even,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,2410
2024,4,Axel Stawski,Axel,Stawski,male,1950-11-14,73,United States,USA,United States,USA,Sagaponack,1000000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,2692
2024,4,Aydin Dogan,Aydin,Dogan,male,1936-04-15,87,Turkey,TUR,Turkey,TUR,Istanbul,1200000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2410
2019,3,Ayhan Tosyali,Ayhan,Tosyali,male,1964-01-01,55,Turkey,TUR,Turkey,TUR,Istanbul,1100000000,Decreased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1941
2017,3,Ayman Asfari,Ayman,Asfari,male,1958-07-08,58,United Kingdom,GBR,United Kingdom,GBR,London,1100000000,Remained Even,TRUE,Energy,['Energy'],NA,NA,1795
2024,4,Ayman Hariri,Ayman,Hariri,male,1978-05-16,45,Lebanon,LBN,France,FRA,Paris,1400000000,Remained Even,FALSE,Construction & Engineering,['Construction & Engineering'],NA,NA,2152
2009,3,Aymin Hariri,NA,NA,NA,NA,30,Saudi Arabia,SAU,Saudi Arabia,SAU,Riyadh,1100000000,NA,NA,NA,['Construction &#38; Engineering'],NA,NA,647
2017,3,Azad Moopen,Azad,Moopen,male,1953-04-15,63,India,IND,United Arab Emirates,ARE,Dubai,1000000000,Decreased,TRUE,Healthcare,['Healthcare'],NA,NA,1940
2024,4,Azim Premji,Azim,Premji,male,1945-07-24,78,India,IND,India,IND,Bangalore,12000000000,Increased,FALSE,Technology,['Technology'],Wipro Ltd.,Founder Chairman,165
2024,4,Aziz Akhannouch & family,Aziz,Akhannouch,male,1961-01-01,63,Morocco,MAR,Morocco,MAR,Casablanca,1700000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1851
2007,3,B. Thomas Golisano,NA,NA,NA,NA,65,United States,USA,United States,USA,Victor,1800000000,NA,NA,NA,NA,NA,NA,557
2021,4,B. Wayne Hughes,B. Wayne,Hughes,male,1933-09-28,87,United States,USA,United States,USA,Lexington,3300000000,Increased,TRUE,Service,['Service'],NA,NA,925
2024,4,"B. Wayne Hughes, Jr.",B. Wayne,Hughes,male,1959-05-27,64,United States,USA,United States,USA,Jackson,2100000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,1545
2019,3,B.R. Shetty,B.R.,Shetty,male,1942-01-01,77,India,IND,United Arab Emirates,ARE,Abu Dhabi,2800000000,Decreased,TRUE,Healthcare,['Healthcare'],NA,NA,804
2024,4,Baba Kalyani,Baba,Kalyani,male,1949-01-07,75,India,IND,India,IND,Pune,4099999999.999999,Increased,FALSE,Automotive,['Automotive'],NA,NA,775
2024,4,Bachtiar Karim,Bachtiar,Karim,male,1957-11-05,66,Indonesia,IDN,Singapore,SGP,Singapore,1400000000,NA,FALSE,Manufacturing,['Manufacturing'],NA,NA,2152
2016,3,Bachtiar Karim & family,Bachtiar,Karim,male,1957-01-01,59,Indonesia,IDN,Indonesia,IDN,Medan,3200000000,Increased,FALSE,Manufacturing,['Manufacturing'],NA,NA,527
2024,4,Bahaa Hariri,Bahaa,Hariri,male,1966-04-26,57,Lebanon,LBN,Switzerland,CHE,Geneva,2100000000,Remained Even,FALSE,Real Estate,['Real Estate'],NA,NA,1545
2024,4,Bahari Karim,Bahari,Karim,male,1962-01-01,62,Indonesia,IDN,Singapore,SGP,Singapore,1200000000,NA,FALSE,Manufacturing,['Manufacturing'],NA,NA,2410
2023,4,Bai Baokun,Baokun,Bai,male,NA,53,China,CHN,China,CHN,Dongguan,1600000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1804
2023,4,Bai Houshan,Houshan,Bai,male,1964-01-01,59,China,CHN,China,CHN,Ningbo,1200000000,Decreased,TRUE,Energy,['Energy'],NA,NA,2259
2024,4,Baiju Bhatt,Baiju,Bhatt,male,1985-01-01,39,United States,USA,United States,USA,Palo Alto,1100000000,Returned to List,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2545
2022,4,Bajaj brothers,brothers,Bajaj,male,NA,NA,India,IND,India,IND,Mumbai,8600000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,246
2022,4,Bajaj siblings,siblings,Bajaj,NA,NA,NA,India,IND,India,IND,Pune,7700000000,NA,FALSE,Automotive,['Automotive'],NA,NA,304
2024,4,Balkrishan Goenka,Balkrishan,Goenka,male,1966-08-15,57,India,IND,India,IND,Mumbai,2600000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1286
2024,4,Bambang Sutantio,Bambang,Sutantio,male,1958-12-26,65,Indonesia,IDN,Indonesia,IDN,Jakarta,1900000000,Increased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,1694
2017,3,Bang Jun-Hyuk,Jun-Hyuk,Bang,male,1968-06-01,48,South Korea,KOR,South Korea,KOR,Seoul,1100000000,NA,TRUE,Technology,['Technology'],NA,NA,1795
2022,4,Bang Jun-hyuk,Jun-hyuk,Bang,male,1968-06-01,53,South Korea,KOR,South Korea,KOR,Seoul,1800000000,Decreased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,1645
2024,4,Bang Si-hyuk,Si-hyuk,Bang,male,1972-08-09,51,South Korea,KOR,South Korea,KOR,Seoul,1800000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,1764
2024,4,Banwari Lal Bawri,Banwari Lal,Bawri,male,1953-04-02,71,India,IND,India,IND,Mumbai,1900000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1694
2017,3,Bao Hongxing & family,Hongxing,Bao,male,NA,NA,China,CHN,China,CHN,Nanchang,1300000000,NA,TRUE,Food and Beverage,['Food and Beverage'],NA,NA,1567
2021,4,Baoguo Zhu & family,Baoguo,Zhu,male,1962-04-25,58,China,CHN,China,CHN,Shenzhen,4500000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,638
2021,4,Baokun Bai,Baokun,Bai,male,NA,51,China,CHN,China,CHN,Dongguan,2800000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,NA,1111
2022,4,Baoshen Zhong,Baoshen,Zhong,male,1967-12-01,54,China,CHN,China,CHN,Xian,1100000000,NA,TRUE,Energy,['Energy'],NA,NA,2448
2024,4,Barbara Benetton,Barbara,Benetton,female,1969-07-02,54,Italy,ITA,Italy,ITA,Campodoro,1500000000,Remained Even,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,2046
2024,4,Barbara Berlusconi,Barbara,Berlusconi,female,1984-07-30,39,Italy,ITA,Italy,ITA,Milan,1200000000,NA,FALSE,Media & Entertainment,['Media & Entertainment'],NA,NA,2410
2015,3,Barbara Carlson Gage,Barbara Carlson,Gage,female,1942-04-01,72,United States,USA,United States,USA,Long Lake,1100000000,Decreased,FALSE,Service,['Service'],NA,NA,1638
2007,3,Barbara Carlson Gage & family,NA,NA,NA,NA,64,United States,USA,United States,USA,Minneapolis,2000000000,NA,NA,NA,NA,NA,NA,488
2013,3,Barbara Piasecka Johnson,Barbara Piasecka,Johnson,female,1937-02-25,76,United States,USA,NA,NA,NA,3600000000,Increased,FALSE,Health care,['Health care'],NA,NA,376
2024,4,Barbara Tyson,Barbara,Tyson,female,1949-03-06,75,United States,USA,United States,USA,Fayetteville,2100000000,Remained Even,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1545
2024,4,Barry Diller,Barry,Diller,male,1942-02-02,82,United States,USA,United States,USA,New York,4200000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,756
2024,4,Barry Lam,Barry,Lam,male,1949-04-24,74,Taiwan,TWN,Taiwan,TWN,Taipei,11000000000,Increased,TRUE,Technology,['Technology'],NA,NA,190
2022,4,Barry Silbert,Barry,Silbert,male,1976-05-15,45,United States,USA,United States,USA,Rye,3200000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,951
2024,4,Barry Sternlicht,Barry,Sternlicht,male,1960-11-27,63,United States,USA,United States,USA,Miami,3800000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,835
2024,4,Barry Zekelman,Barry,Zekelman,male,1967-01-03,57,Canada,CAN,Canada,CAN,Windsor,3400000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,949
2018,3,Bassam Alghanim,Bassam,Alghanim,male,1951-09-02,66,Kuwait,KWT,United States,USA,Los Angeles,1400000000,Remained Even,FALSE,Diversified,['Diversified'],NA,NA,1650
2024,4,Bastian Nominacher,Bastian,Nominacher,male,1984-11-15,39,Germany,DEU,Germany,DEU,Munich,1200000000,NA,TRUE,Technology,['Technology'],NA,NA,2410
2024,4,Basudeo Singh,Basudeo,Singh,male,1940-11-20,83,India,IND,India,IND,Mumbai,2400000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1380
2024,4,Beate Heister,Beate,Heister,female,1951-01-01,73,Germany,DEU,NA,NA,NA,15900000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,118
2020,4,Beate Heister & Karl Albrecht Jr.,Beate Heister & Karl,Albrecht Jr.,NA,NA,NA,Germany,DEU,Germany,DEU,NA,33299999999.999996,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,23
2024,4,Beatriz Davila de Santo Domingo,Beatriz,Davila de Santo Domingo,female,1939-03-07,85,Colombia,COL,Bermuda,BMU,NA,3800000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,835
2024,4,Beda Diethelm,Beda,Diethelm,male,1941-01-01,83,Switzerland,CHE,Switzerland,CHE,Zurich,2600000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1286
2024,4,Behdad Eghbali,Behdad,Eghbali,male,1976-05-06,47,United States,USA,United States,USA,Los Angeles,3800000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,835
2017,3,Belmiro de Azevedo,Belmiro,de Azevedo,male,1938-03-17,78,Portugal,PRT,NA,NA,NA,1500000000,Decreased,TRUE,Diversified,['Diversified'],NA,NA,1376
2024,4,Ben Ashkenazy,Ben,Ashkenazy,male,1969-09-23,54,United States,USA,United States,USA,New York,1600000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,1945
2024,4,Ben Chestnut,Ben,Chestnut,male,1974-06-15,49,United States,USA,United States,USA,Atlanta,5000000000,Increased,TRUE,Technology,['Technology'],NA,NA,612
2024,4,Ben Francis,Ben,Francis,male,1992-06-04,31,United Kingdom,GBR,United Kingdom,GBR,Birmingham,1300000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2287
2024,4,Ben Navarro,Ben,Navarro,male,1962-11-02,61,United States,USA,United States,USA,Charleston,1500000000,NA,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2046
2024,4,Ben Silbermann,Ben,Silbermann,male,1982-07-14,41,United States,USA,United States,USA,San Francisco,2000000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],Pinterest,Cofounder,1623
2015,3,Benedicta Chamberlain,Benedicta,Chamberlain,female,1944-02-01,71,United Kingdom,GBR,United Kingdom,GBR,Suffolk,1400000000,Increased,FALSE,Food and Beverage,['Food and Beverage'],NA,NA,1324
2024,4,Benedicte Find,Benedicte,Find,female,1954-09-21,69,Denmark,DNK,Denmark,DNK,Copenhagen,1300000000,Increased,FALSE,Healthcare,['Healthcare'],NA,NA,2287
2024,4,Benjamin Otto,Benjamin,Otto,male,1975-06-09,48,Germany,DEU,Germany,DEU,Hamburg,2600000000,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1286
2023,4,Benjamin Zhengmin Pan & family,Benjamin Zhengmin,Pan,male,1969-12-01,53,China,CHN,China,CHN,Shenzhen,1800000000,Decreased,TRUE,Technology,['Technology'],NA,NA,1647
2020,4,Benjamin de Rothschild,Benjamin,de Rothschild,male,1963-07-30,56,Switzerland,CHE,Switzerland,CHE,Geneva,1100000000,Decreased,FALSE,Finance & Investments,['Finance & Investments'],NA,NA,1851
2024,4,Bennett Dorrance,Bennett,Dorrance,male,1946-02-09,78,United States,USA,United States,USA,Paradise Valley,3100000000,Decreased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1062
2024,4,Bennett Rosenthal,Bennett,Rosenthal,male,1963-09-24,60,United States,USA,United States,USA,Los Angeles,2100000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1545
2015,3,Benny Subianto,Benny,Subianto,male,1942-05-15,72,Indonesia,IDN,NA,NA,NA,1000000000,Returned to List,TRUE,Energy,['Energy'],NA,NA,1741
2024,4,Benny Suherman,Benny,Suherman,male,1948-01-06,76,Indonesia,IDN,Indonesia,IDN,Jakarta,1100000000,NA,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2545
2024,4,Benoit Dageville,Benoit,Dageville,male,1966-06-29,57,United States,USA,United States,USA,San Carlos,1200000000,Increased,TRUE,Technology,['Technology'],NA,NA,2410
2018,3,Bent Jensen,Bent,Jensen,male,1951-12-15,66,Denmark,DNK,Denmark,DNK,Nordborg,1100000000,Returned to List,FALSE,Manufacturing,['Manufacturing'],NA,NA,1999
2024,4,Bent Jensen & Family,Bent,Jensen & Family,male,1951-12-15,72,Denmark,DNK,Denmark,DNK,Nordborg,2400000000,Returned to List,FALSE,Manufacturing,['Manufacturing'],NA,NA,1380
2024,4,Benu Gopal Bangur,Benu Gopal,Bangur,male,1931-06-01,92,India,IND,India,IND,Kolkata,6800000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,403
2019,3,Beny Steinmetz,Beny,Steinmetz,male,1956-04-02,62,Israel,ISR,Israel,ISR,Netanya,1000000000,Remained Even,FALSE,Metals & Mining,['Metals & Mining'],NA,NA,2057
2021,4,Bergit Douglas,Bergit,Douglas,female,1946-11-26,74,Germany,DEU,Germany,DEU,Frankfurt,2800000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1111
2017,3,Bernard (Barry) Sherman,Bernard (Barry),Sherman,male,1942-03-01,75,Canada,CAN,NA,NA,NA,3000000000,Decreased,TRUE,Healthcare,['Healthcare'],Apotex,Chairman and CEO,660
2012,3,Bernard Arnault,Bernard,Arnault,male,1949-03-05,63,France,FRA,France,FRA,Paris,41000000000,Remained Even,FALSE,NA,['Fashion and Retail'],NA,NA,4
2024,4,Bernard Arnault & family,Bernard,Arnault,male,1949-03-05,75,France,FRA,France,FRA,Paris,233000000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,1
2023,4,Bernard Broermann,Bernard,Broermann,male,1943-11-22,79,Germany,DEU,Germany,DEU,Koenigstein,4800000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,567
2024,4,Bernard Charles,Bernard,Charles,male,1957-03-30,67,France,FRA,NA,NA,NA,1100000000,NA,TRUE,Diversified,['Diversified'],NA,NA,2545
2024,4,Bernard Ecclestone & family,Bernard,Ecclestone,male,1930-10-28,93,United Kingdom,GBR,United Kingdom,GBR,London,2400000000,Decreased,TRUE,Sports,['Sports'],NA,NA,1380
2020,4,Bernard Fraisse,Bernard,Fraisse,male,1956-08-10,63,France,FRA,France,FRA,Paris,1600000000,Decreased,TRUE,Healthcare,['Healthcare'],NA,NA,1335
2024,4,Bernard Fraisse & family,Bernard,Fraisse,male,1956-08-10,67,France,FRA,France,FRA,Paris,2500000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1330
2024,4,Bernard Lewis & family,Bernard,Lewis,male,1926-02-10,98,United Kingdom,GBR,United Kingdom,GBR,London,1500000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2046
2024,4,Bernard Marcus,Bernard,Marcus,male,1929-05-12,94,United States,USA,United States,USA,Atlanta,10300000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],The Home Depot,"Co-founder, ex chairman of the board",216
2006,3,Bernard Saul,NA,NA,NA,NA,73,United States,USA,United States,USA,Chevy Chase,1500000000,NA,NA,NA,['Finance'],NA,NA,512
2022,4,"Bernard Saul, II.",Bernard,Saul,male,1932-04-15,89,United States,USA,United States,USA,Chevy Chase,3700000000,Increased,FALSE,Finance & Investments,['Finance & Investments'],Saul Centers Inc.,Chairman and CEO,801
2024,4,"Bernard Saul, II. & family",Bernard,Saul,male,1932-04-15,91,United States,USA,United States,USA,Chevy Chase,2600000000,Decreased,FALSE,Finance & Investments,['Finance & Investments'],Saul Centers,Chairman and CEO,1286
2016,3,Bernardo Caprotti,Bernardo,Caprotti,male,1925-10-07,90,Italy,ITA,Italy,ITA,Milan,2400000000,Increased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,722
2019,3,Bernardo Matte,Bernardo,Matte,male,1955-08-21,63,Chile,CHL,Chile,CHL,Santiago,1000000000,Remained Even,FALSE,Manufacturing,['Manufacturing'],NA,NA,2057
2024,4,Bernd Freier,Bernd,Freier,male,1957-01-01,67,Germany,DEU,Germany,DEU,Rottendorf,1500000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2046
2024,4,Bernhard Braun-Luedicke,Bernhard,Braun-Luedicke,male,1977-01-01,47,Germany,DEU,Germany,DEU,Melsungen,1700000000,Increased,FALSE,Healthcare,['Healthcare'],NA,NA,1851
2024,4,Bert Beveridge,Bert,Beveridge,male,1962-01-01,62,United States,USA,United States,USA,Austin,6800000000,Increased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,403
2011,3,Berthold & Theo Jr. Albrecht & family,Berthold & Theo Jr.,Albrecht,male,NA,0,Germany,DEU,NA,NA,NA,14400000000,NA,FALSE,NA,['Fashion and Retail'],NA,NA,48
2024,4,Bertil Hult,Bertil,Hult,male,1941-02-10,83,Sweden,SWE,Switzerland,CHE,Lucerne,2600000000,Decreased,TRUE,Service,['Service'],NA,NA,1286
2022,4,Betty Ang,Betty,Ang,female,1954-11-13,67,Philippines,PHL,Philippines,PHL,Manila,1200000000,NA,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,2324
2024,4,Bhadresh Shah,Bhadresh,Shah,male,1951-10-07,72,India,IND,India,IND,Ahmedabad,2600000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1286
2024,4,Bharat Desai,Bharat,Desai,male,1952-11-20,71,United States,USA,United States,USA,Fisher Island,1600000000,Increased,TRUE,Technology,['Technology'],Syntel,Chairman and Co-founder,1945
2015,3,Bharat Desai & family,Bharat,Desai,male,1952-11-20,62,United States,USA,United States,USA,Fisher Island,2600000000,Increased,TRUE,Technology,['Technology'],Syntel,Chairman and Co-founder,714
2022,4,Bhawari Bai Surana,Bhawari Bai,Surana,female,1945-09-28,76,India,IND,India,IND,Bangalore,1000000000,NA,FALSE,Healthcare,['Healthcare'],NA,NA,2578
2012,3,Bhupendra Kumar Modi,Bhupendra Kumar,Modi,male,1949-01-02,63,India,IND,Singapore,SGP,singapore,1000000000,Decreased,FALSE,Telecom,['Telecom'],NA,NA,1153
2024,4,Bianca Rinehart,Bianca,Rinehart,female,1977-03-19,47,Australia,AUS,Australia,AUS,Brisbane,2100000000,Increased,FALSE,Metals & Mining,['Metals & Mining'],NA,NA,1545
2024,4,Bidzina Ivanishvili,Bidzina,Ivanishvili,male,1956-02-18,68,Georgia,GEO,Georgia,GEO,Tbilisi,4900000000,Remained Even,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,624
2014,3,Bill Adderley & family,Bill,Adderley,male,1948-02-27,66,United Kingdom,GBR,United Kingdom,GBR,Leicester,1750000000,NA,TRUE,Fashion and Retail,['Fashion and Retail'],NA,NA,1036
2024,4,Bill Alfond,Bill,Alfond,male,1948-05-16,75,United States,USA,United States,USA,Boston,3100000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1062
2024,4,Bill Austin,Bill,Austin,male,1942-02-25,82,United States,USA,United States,USA,Brownsville,3200000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,1033
2024,4,Bill Gates,Bill,Gates,male,1955-10-28,68,United States,USA,United States,USA,Medina,128000000000,Increased,TRUE,Technology,['Technology'],Bill & Melinda Gates Foundation,Cochair,7
2024,4,Bill Gross,Bill,Gross,male,1944-04-13,79,United States,USA,United States,USA,Laguna Beach,1700000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],Pacific Investment Management Company LLC,Cofounder and Co-Chief Investment Officer,1851
2024,4,Bill Haslam,Bill,Haslam,male,1958-08-23,65,United States,USA,United States,USA,Knoxville,5100000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,597
2021,4,Bill Liu,Bill,Liu,male,1983-01-01,38,China,CHN,China,CHN,Shenzhen,1700000000,Remained Even,TRUE,Technology,['Technology'],NA,NA,1833
2024,4,Bill Malhotra,Bill,Malhotra,male,1949-09-08,74,Canada,CAN,Canada,CAN,Ottawa,2200000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,1496
2014,3,"Bill Marriott, Jr.",Bill,Marriott,male,1932-03-25,81,United States,USA,United States,USA,Potomac,2200000000,Increased,FALSE,Service & Retail,['Service'],NA,NA,796
2022,4,Bill and Jean Adderley & family,Bill and Jean,Adderley,NA,NA,NA,United Kingdom,GBR,United Kingdom,GBR,Leicester,2100000000,Decreased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1445
2022,4,Billy Joe (Red) McCombs,Billy Joe (Red),McCombs,male,1927-10-19,94,United States,USA,United States,USA,San Antonio,1700000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,1729
2017,3,Billy Kan,Billy,Kan,male,1952-04-01,64,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,1000000000,Decreased,TRUE,Energy,['Energy'],NA,NA,1940
2024,4,Binny Bansal,Binny,Bansal,male,1982-12-03,41,India,IND,Singapore,SGP,Singapore,1400000000,Remained Even,TRUE,Technology,['Technology'],NA,NA,2152
2024,4,Binod Chaudhary,Binod,Chaudhary,male,1955-04-14,68,Nepal,NPL,Nepal,NPL,Kathmandu,1800000000,Remained Even,FALSE,Diversified,['Diversified'],NA,NA,1764
2016,3,Binod Chaudhary & family,Binod,Chaudhary,male,1955-04-14,60,Nepal,NPL,Nepal,NPL,Kathmandu,1100000000,Decreased,FALSE,Diversified,['Diversified'],NA,NA,1577
2012,3,Birgit Rausing & family,Birgit,Rausing,female,1924-01-01,88,Sweden,SWE,NA,NA,NA,14000000000,Remained Even,FALSE,Manufacturing,['Manufacturing'],NA,NA,50
2024,4,Blair Parry-Okeden,Blair,Parry-Okeden,female,1950-05-21,73,United States,USA,Australia,AUS,New South Wales,6100000000,Decreased,FALSE,Media & Entertainment,['Media & Entertainment'],NA,NA,477
2024,4,Blairo Maggi,Blairo,Maggi,male,1956-05-29,67,Brazil,BRA,Brazil,BRA,Cuiaba,1100000000,Decreased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,2545
2017,3,Bo Shijiu & family,Shijiu,Bo,male,1964-05-11,52,China,CHN,China,CHN,Beijing,1300000000,NA,TRUE,Logistics,['Logistics'],NA,NA,1567
2021,4,Bo Wu,Bo,Wu,male,1954-05-01,66,China,CHN,China,CHN,Nanjing,1800000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,NA,1750
2024,4,Bob Ell,Bob,Ell,male,1944-12-22,79,Australia,AUS,Australia,AUS,Surfers Paradise,2300000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,1438
2024,4,Bob Gaglardi,Bob,Gaglardi,male,1941-02-19,83,Canada,CAN,Canada,CAN,Vancouver,3800000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,835
2024,4,Bob Muglia,Bob,Muglia,male,1959-10-02,64,United States,USA,United States,USA,Mercer Island,1100000000,Returned to List,TRUE,Technology,['Technology'],NA,NA,2545
2024,4,Bob Parsons,Bob,Parsons,male,1950-11-27,73,United States,USA,United States,USA,Scottsdale,3600000000,Increased,TRUE,Technology,['Technology'],NA,NA,896
2024,4,Bobby Murphy,Bobby,Murphy,male,1988-07-19,35,United States,USA,United States,USA,Venice,2800000000,Increased,TRUE,Technology,['Technology'],Snap,Cofounder,1187
2024,4,Bom Kim,Bom,Kim,male,1978-10-01,45,United States,USA,South Korea,KOR,Seoul,3200000000,Increased,TRUE,Technology,['Technology'],Coupang,NA,1033
2008,3,Bon-Moo Koo,NA,NA,NA,NA,63,South Korea,KOR,South Korea,KOR,NA,1100000000,NA,NA,NA,NA,NA,NA,1014
2011,3,Boris Ivanishvili,Boris,Ivanishvili,male,1956-02-18,55,Russia,RUS,Georgia,GEO,Chorvila,5500000000,Increased,TRUE,NA,['Investments'],NA,NA,185
2022,4,Boris Jordan,Boris,Jordan,male,1966-06-02,55,United States,USA,United States,USA,New York,1000000000,Decreased,TRUE,Manufacturing,['Manufacturing'],NA,NA,2578
2017,3,Boris Mints,Boris,Mints,male,1958-07-24,58,Russia,RUS,Russia,RUS,Moscow,1300000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,1567
2024,4,Boris Rotenberg,Boris,Rotenberg,male,1957-01-03,67,Russia,RUS,Russia,RUS,Moscow,1400000000,Remained Even,TRUE,Construction & Engineering,['Construction & Engineering'],NA,NA,2152
2024,4,Boris Zingarevich,Boris,Zingarevich,male,1959-07-08,64,Russia,RUS,Russia,RUS,Saint Petersburg,2100000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,1545
